,title,url,site_name,fb_engagement,published_date,category,elapsed_days,engagement_per_day,month_published,engagement_per_month,title_length
411,Clint Eastwood: Obama 'Worst President In Our History; He Looted America',https://yournewswire.com/clint-eastwood-obama-looted/,yournewswire.com,12050,2017-12-20,Uncategorized,2199,5.479763528876762,December,164.39290586630287,73.0
412,Melania Trump Hired Exorcist To Cleanse White House Of Obama 'Demons',https://yournewswire.com/melanic-trump-exorcist-white-house/,yournewswire.com,12022,2018-02-08,Uncategorized,2149,5.594229874360168,February,167.826896230805,69.0
413,Couple stuck together for 16 hours after mistaking super glue for lubricant,https://worldnewsdailyreport.com/couple-stuck-together-for-16-hours-after-mistaking-super-glue-for-lubricant/,worldnewsdailyreport.com,11888,2018-06-07,Uncategorized,2030,5.85615763546798,June,175.6847290640394,75.0
414,Man KiIIs His Best Friend Because He Didn’t Say “Nohomo” After 10-hour AnaI Session,https://www.8shit.net/man-best-friend-nohomo-4/,www.8shit.net,11887,2018-05-27,Uncategorized,2041,5.824105830475257,May,174.72317491425773,83.0
415,Rothschild Bank Under Criminal Investigation For Money Laundering,https://yournewswire.com/rothschild-bank-investigation-money-laundering/,yournewswire.com,11841,2018-07-22,Uncategorized,1985,5.965239294710328,July,178.9571788413098,65.0
416,Hillary's Treason Forces America to the Brink of Destruction,http://www.truthandaction.org/hillarys-treason-forces-america-to-the-brink-of-destruction/,www.truthandaction.org,11766,2018-03-20,Uncategorized,2109,5.578947368421052,March,167.3684210526316,60.0
417,Sperm bank nurse falls pregnant after smuggling semen in her vagina,https://worldnewsdailyreport.com/sperm-bank-nurse-falls-pregnant-after-smuggling-semen-in-her-vagina/,worldnewsdailyreport.com,11518,2018-01-21,Uncategorized,2167,5.315182279649285,January,159.45546838947854,67.0
418,Here’s a list of all the places where you will not be allowed to wear a poppy,https://uokhun.uk/2018/10/15/heres-a-list-of-all-the-places-where-you-will-not-be-allowed-to-wear-a-poppy/,uokhun.uk,11496,2018-10-15,Uncategorized,1900,6.050526315789473,October,181.5157894736842,77.0
419,New Crystal Maze includes finding the toilets in Wetherspoons,https://uokhun.uk/2018/10/17/new-crystal-maze-includes-finding-the-toilets-in-wetherspoons/,uokhun.uk,11421,2018-10-17,Uncategorized,1898,6.017386722866175,October,180.52160168598525,61.0
420,"Tide Confirms Tide Pods To Be Discontinued After Several Deaths Due To ""Tide Pod Challenge""",https://www.huzlers.com/tide-confirms-tide-pods-discontinued-several-death-due-tide-pod-challenge/,www.huzlers.com,11348,2018-01-26,Uncategorized,2162,5.248843663274745,January,157.46530989824237,91.0
421,Justin Trudeau's Best Friend Jailed After International Pedophile Ring Bust,https://newspunch.com/justin-trudeau-friend-pedophile-ring/,newspunch.com,11324,2018-04-16,Uncategorized,2082,5.439000960614793,April,163.1700288184438,75.0
422,10-Year-Old Transgender Boy is Starting a Dating Website for Trans Children,http://www.neonnettle.com/news/3542-10-year-old-transgender-boy-is-starting-a-dating-website-for-trans-children,www.neonnettle.com,11290,2018-01-06,Uncategorized,2182,5.174152153987167,January,155.22456461961502,75.0
423,Justin Trudeau's Best Friend Jailed After International Pedophile Ring Bust,https://newspunch.com/justin-trudeau-friend-pedophile-ring/,newspunch.com,11285,2018-04-16,Uncategorized,2082,5.420268972142171,April,162.60806916426512,75.0
424,Angela Merkel to The UK: 'Surrender Your Sovereignty To The EU',https://neonnettle.com/news/5716-angela-merkel-to-the-uk-surrender-your-sovereignty-to-the-eu-,neonnettle.com,11273,2018-11-21,Uncategorized,1863,6.050993022007515,November,181.52979066022544,63.0
425,"XXXTentacion Fans Believe Drake Hired Hitmen To Kill X ""Louis Bags In Exchange For Body Bags"" From His New Album Scorpion Adds Fuel To The Fire",https://www.huzlers.com/xxxtentacion-fans-believe-drake-hired-hitmen-to-kill-x-louis-bags-in-exchange-for-body-bags-from-his-new-album-scorpion-adds-fuel-to-the-fire/,www.huzlers.com,11264,2018-07-01,Uncategorized,2006,5.615154536390827,July,168.45463609172484,143.0
426,BREAKING: Nike Stock Drops 260 Points In A Single Day Thanks To Colin Kaepernick,https://worstpot.us/ever/you-idiots-will-believe-anything/,worstpot.us,11117,2018-09-04,Uncategorized,1941,5.727460072127769,September,171.82380216383308,80.0
427,IG Report Revelation: FBI Set Up The Clinton-Lynch Tarmac Meeting - Truth And Action,http://www.truthandaction.org/ig-report-revelation-fbi-set-clinton-lynch-tarmac-meeting/,www.truthandaction.org,11115,2018-07-04,Uncategorized,2003,5.54917623564653,July,166.4752870693959,84.0
428,Dude Gets Revenge On High School Bully By Fu*king His Mum And Taking Pics,https://www.8shit.net/dude-gets-revenge-on-high-school-bully-by-fuking-his-mum-and-taking-pics/,www.8shit.net,11051,2018-05-07,Uncategorized,2061,5.361960213488598,May,160.85880640465794,73.0
429,"Man Taken Into Custody After Telling Bar Patrons He Was WWE's The Undertaker, Tried To Tombstone The Bouncer",https://www.8shit.net/man-taken-into-custody-after-telling-bar-patrons-he-was-wwes-the-undertaker-tried-to-tombstone-the-bouncer/,www.8shit.net,11043,2018-08-26,Uncategorized,1950,5.663076923076923,August,169.8923076923077,108.0
430,Thousands of Leave voters literally explode as brown person wins Bake Off again,https://uokhun.uk/2018/10/30/thousands-of-leave-voters-literally-explode-as-brown-person-wins-bake-off-again/,uokhun.uk,11038,2018-10-30,Uncategorized,1885,5.855702917771883,October,175.67108753315648,79.0
431,"UK Government Caught Rejecting Christian Refugees, Accepting Muslims Only",https://neonnettle.com/news/4653-uk-government-caught-rejecting-christian-refugees-accepting-muslims-only,neonnettle.com,11019,2018-07-29,Uncategorized,1978,5.570778564206269,July,167.12335692618805,73.0
432,"Criminal Referrals Sent to AG Sessions: Clinton, Comey, Lynch and McCabe",http://www.truthandaction.org/criminal-referrals-sent-ag-sessions-clinton-comey-lynch-mccabe/,www.truthandaction.org,10908,2018-04-19,Uncategorized,2079,5.246753246753247,April,157.40259740259742,72.0
433,Steve Bannon Set To Destroy George Soros With Populist Uprising in Europe,https://neonnettle.com/news/4646-steve-bannon-set-to-destroy-george-soros-with-populist-uprising-in-europe,neonnettle.com,10879,2018-07-28,Uncategorized,1979,5.49722081859525,July,164.9166245578575,73.0
434,Police hunt for man suspected of stealing sofa,https://uokhun.uk/2018/10/24/police-hunt-for-man-suspected-of-stealing-sofa/,uokhun.uk,10872,2018-10-24,Uncategorized,1891,5.7493389740877845,October,172.48016922263352,46.0
435,Child's Skull Found During Elite Sex Trafficking Raid on Clinton Land,http://www.neonnettle.com/features/1384-child-s-skull-found-during-elite-sex-trafficking-raid-on-clinton-land,www.neonnettle.com,10870,2018-06-08,Uncategorized,2029,5.357318876293741,June,160.71956628881222,69.0
436,Los Monegros amanecen este martes plantados con sombrillas amarillas,http://www.12minutos.com/5adecc6625f08/los-monegros-amanecen-este-martes-plantados-con-sombrillas-amarillas.html,www.12minutos.com,10845,2018-04-25,Uncategorized,2073,5.231548480463097,April,156.94645441389292,68.0
